BRCA1,BRCA2,TP53,ERBB2,ESR1,PGR,MYC,PIK3CA,PTEN,EGFR,AKT1,CCND1,CDH1,RB1,CDKN2A,MDM2,KRAS,BRAF,ATM,CHEK2,MKI67,BCL2,BAX,VEGFA,label
8.4185,5.4129,10.1539,12.5917,14.1879,11.8531,7.8599,7.5794,11.0592,4.5694,12.3574,13.8966,9.8852,9.6203,7.9305,10.4305,9.768,6.4879,9.2581,8.1236,9.58,11.8071,9.6926,11.8133,Cancer
9.0546,7.915,11.2726,10.8813,4.8912,5.6739,13.1747,8.9672,10.7997,10.2813,11.0611,9.153,12.3454,9.2915,11.0663,11.3406,10.8503,8.4374,10.2309,9.234,12.3371,10.0203,9.6377,10.8244,Cancer
8.2816,5.982,9.8753,12.5764,13.7199,5.794,9.1707,9.6612,10.7837,6.6329,11.6201,9.329,13.6088,8.0904,10.4276,10.9622,10.7597,8.0836,9.7501,7.7884,10.889,11.4259,9.298,11.2993,Cancer
8.0481,6.7159,10.8122,11.8112,13.2686,9.739,9.4869,9.0621,11.0035,7.0359,12.7768,13.9351,14.6996,10.6132,6.5223,12.1581,10.2668,10.0948,9.0715,7.996,10.906,8.584,10.265,9.4174,Cancer
8.69,8.0887,10.6794,12.0949,13.4961,15.2517,9.7307,9.6508,10.739,7.9554,11.0471,11.308,13.8502,10.9343,6.2142,11.3825,12.4177,7.7973,11.1112,7.2156,10.0058,10.4788,9.0048,9.6207,Cancer
7.2996,5.6871,10.9221,13.6128,12.4192,12.5431,11.9511,8.1905,10.4765,8.1106,12.354,12.6114,12.6744,9.8284,6.3011,9.9336,9.9133,7.4126,10.0429,7.9066,7.7872,11.3971,9.4479,11.3395,Cancer
8.5085,7.6083,12.1148,10.6064,4.8796,2.722,12.8619,9.2005,11.1109,8.7817,10.861,11.7624,11.8231,7.8833,12.111,10.2418,11.2107,7.4694,10.1277,8.9208,11.4513,10.8399,9.4546,10.6095,Cancer
8.9428,7.6825,10.1089,12.1696,14.7549,13.8715,9.2964,8.9986,10.9865,5.6791,11.7499,13.9453,14.3927,10.1128,7.7832,11.296,10.3014,7.5334,9.6093,6.7028,9.9794,12.1377,9.5686,10.0154,Cancer
9.5017,7.719,11.5574,12.9321,14.271,11.2174,11.7869,8.6679,10.6937,4.0321,11.538,14.9317,13.624,10.265,6.3244,12.8152,9.8688,8.023,9.154,7.7948,10.0142,13.4531,11.1841,10.6652,Cancer
7.0208,6.9278,10.716,12.018,12.0706,5.6727,10.7986,9.0362,11.0861,8.3299,13.6442,13.1176,13.1208,10.4737,5.5253,11.563,10.6906,7.575,9.3548,7.6054,10.7668,9.0324,9.1798,12.0535,Cancer
8.7393,6.4985,10.214,14.2034,12.0481,12.6829,11.6046,9.5249,10.9872,9.092,11.3278,13.6684,13.2251,10.4765,5.096,11.6255,10.6792,8.5712,10.8851,6.2779,9.1582,11.9774,8.4243,10.2413,Cancer
8.3079,4.5169,9.8335,14.1908,12.0187,5.8483,10.2723,9.912,9.0028,6.7034,12.97,12.7495,14.1057,9.7048,4.282,11.144,11.8929,7.8685,9.3677,7.0069,9.4174,8.4254,8.9527,10.1087,Cancer
5.5982,6.3974,10.4882,13.5114,12.6627,7.4985,10.6098,8.4656,10.1813,8.1013,12.3981,12.2208,10.1799,9.5763,6.388,11.032,9.1982,7.1742,10.173,7.4853,10.8645,9.7564,9.6385,10.1111,Cancer
7.8254,4.9571,9.4326,9.3979,9.9779,7.8139,9.0825,10.4337,12.0667,11.4239,11.8172,12.285,5.5589,10.5146,3.6071,10.5399,9.3956,7.9712,10.5496,5.6819,7.2645,11.6529,8.0322,10.5753,Normal
7.883,6.7917,9.8228,9.4543,8.8447,6.9323,11.178,10.1505,11.8247,10.8046,11.6043,11.1572,5.8761,10.42,5.938,10.5428,10.1472,7.6876,10.6322,7.0094,9.7633,10.511,8.5094,10.5956,Normal
8.9278,8.448,11.0548,11.707,13.5866,11.8366,12.0684,10.1321,11.6948,7.6692,11.9708,12.4306,12.3729,10.7671,4.504,10.5952,10.9294,8.0599,11.0911,8.2469,12.44,10.3108,8.7178,10.4909,Cancer
6.5153,3.1357,9.7201,9.6061,9.0614,6.9452,12.6103,9.0839,11.8412,9.2981,12.2119,12.5322,2.3769,9.7525,6.3343,10.1952,9.1614,6.5341,8.5595,6.223,4.2909,10.7761,8.834,10.2523,Normal
